sigXX-0.0;sigYY-0.0;sigXX-0.1;sigYY-0.1;sigXX-0.2;sigYY-0.2;sigXX-0.3;sigYY-0.3;sigXX-0.4;sigYY-0.4;tau_sigXX;tau_sigYY;tau_sigXY;aniso_theta;aniso_sig0;aniso_r
0.990551;0.000000;0.975580;0.000000;0.928436;0.000000;0.841617;0.000000;0.698081;0.000000;0.990551;0.945539;0.000000;0.000000;0.990550;0.898840
0.990845;0.000623;0.975875;0.000613;0.928731;0.000584;0.841905;0.000529;0.698341;0.000439;0.990550;0.945539;0.000594;1.000000;0.990550;0.898800
0.991139;0.001246;0.976170;0.001227;0.929026;0.001168;0.842192;0.001058;0.698602;0.000878;0.990549;0.945537;0.001189;2.000000;0.990560;0.898670
0.991433;0.001869;0.976464;0.001841;0.929320;0.001752;0.842479;0.001588;0.698862;0.001317;0.990546;0.945534;0.001783;3.000000;0.990570;0.898460
0.991726;0.002493;0.976757;0.002455;0.929614;0.002337;0.842766;0.002118;0.699122;0.001757;0.990542;0.945531;0.002377;4.000000;0.990580;0.898130
0.992018;0.003117;0.977051;0.003070;0.929907;0.002922;0.843052;0.002649;0.699382;0.002197;0.990537;0.945526;0.002972;5.000000;0.990600;0.897660
0.992311;0.003741;0.977344;0.003685;0.930200;0.003507;0.843338;0.003180;0.699642;0.002638;0.990530;0.945520;0.003566;6.000000;0.990610;0.897020
0.992602;0.004366;0.977636;0.004300;0.930492;0.004093;0.843624;0.003711;0.699901;0.003079;0.990523;0.945513;0.004160;7.000000;0.990610;0.896170
0.992893;0.004991;0.977928;0.004916;0.930784;0.004679;0.843910;0.004242;0.700161;0.003520;0.990514;0.945505;0.004755;8.000000;0.990610;0.895080
0.993184;0.005617;0.978219;0.005532;0.931076;0.005266;0.844195;0.004774;0.700420;0.003961;0.990505;0.945496;0.005349;9.000000;0.990600;0.893690
0.993474;0.006243;0.978510;0.006149;0.931367;0.005853;0.844480;0.005307;0.700679;0.004403;0.990494;0.945486;0.005943;10.000000;0.990560;0.891960
0.993764;0.006869;0.978801;0.006766;0.931658;0.006440;0.844764;0.005839;0.700938;0.004845;0.990482;0.945475;0.006537;11.000000;0.990510;0.889840
0.994053;0.007496;0.979091;0.007383;0.931949;0.007028;0.845049;0.006372;0.701197;0.005288;0.990468;0.945463;0.007132;12.000000;0.990430;0.887280
0.994342;0.008123;0.979380;0.008001;0.932239;0.007616;0.845333;0.006906;0.701456;0.005730;0.990454;0.945450;0.007726;13.000000;0.990320;0.884230
0.994631;0.008750;0.979670;0.008619;0.932528;0.008204;0.845616;0.007439;0.701714;0.006173;0.990439;0.945436;0.008320;14.000000;0.990180;0.880650
0.994919;0.009378;0.979958;0.009237;0.932818;0.008793;0.845899;0.007973;0.701972;0.006617;0.990422;0.945420;0.008914;15.000000;0.990000;0.876500
0.995206;0.010006;0.980247;0.009856;0.933106;0.009382;0.846182;0.008508;0.702230;0.007061;0.990404;0.945404;0.009508;16.000000;0.989780;0.871760
0.995493;0.010635;0.980534;0.010475;0.933395;0.009971;0.846465;0.009043;0.702488;0.007505;0.990385;0.945386;0.010102;17.000000;0.989510;0.866390
0.995779;0.011264;0.980822;0.011094;0.933683;0.010561;0.846747;0.009578;0.702746;0.007949;0.990365;0.945368;0.010697;18.000000;0.989190;0.860390
0.996065;0.011893;0.981109;0.011714;0.933970;0.011151;0.847029;0.010113;0.703003;0.008394;0.990344;0.945348;0.011291;19.000000;0.988810;0.853750
0.996351;0.012522;0.981395;0.012334;0.934258;0.011742;0.847311;0.010649;0.703261;0.008839;0.990322;0.945328;0.011885;20.000000;0.988380;0.846470
0.996636;0.013152;0.981681;0.012955;0.934544;0.012333;0.847592;0.011185;0.703518;0.009284;0.990298;0.945306;0.012479;21.000000;0.987890;0.838580
0.996921;0.013783;0.981966;0.013576;0.934831;0.012924;0.847873;0.011722;0.703775;0.009730;0.990273;0.945283;0.013073;22.000000;0.987340;0.830110
0.997205;0.014413;0.982251;0.014197;0.935117;0.013516;0.848154;0.012259;0.704032;0.010176;0.990248;0.945260;0.013667;23.000000;0.986720;0.821090
0.997488;0.015044;0.982536;0.014819;0.935402;0.014108;0.848435;0.012796;0.704288;0.010622;0.990221;0.945235;0.014261;24.000000;0.986050;0.811570
0.997772;0.015676;0.982820;0.015441;0.935687;0.014700;0.848715;0.013334;0.704545;0.011069;0.990193;0.945209;0.014854;25.000000;0.985310;0.801620
0.998054;0.016308;0.983104;0.016063;0.935972;0.015293;0.848994;0.013872;0.704801;0.011516;0.990163;0.945182;0.015448;26.000000;0.984510;0.791290
0.998336;0.016940;0.983387;0.016686;0.936256;0.015886;0.849274;0.014410;0.705057;0.011963;0.990133;0.945154;0.016042;27.000000;0.983650;0.780660
0.998618;0.017572;0.983670;0.017309;0.936540;0.016480;0.849553;0.014949;0.705313;0.012411;0.990102;0.945125;0.016636;28.000000;0.982740;0.769800
0.998899;0.018205;0.983952;0.017933;0.936823;0.017074;0.849831;0.015488;0.705568;0.012859;0.990069;0.945095;0.017230;29.000000;0.981760;0.758800
0.999180;0.018838;0.984234;0.018556;0.937106;0.017668;0.850110;0.016028;0.705824;0.013307;0.990035;0.945064;0.017823;30.000000;0.980740;0.747720
0.999460;0.019472;0.984515;0.019181;0.937389;0.018262;0.850388;0.016568;0.706079;0.013756;0.990000;0.945032;0.018417;31.000000;0.979670;0.736660
0.999740;0.020106;0.984796;0.019805;0.937671;0.018857;0.850666;0.017108;0.706334;0.014205;0.989964;0.944998;0.019010;32.000000;0.978550;0.725680
1.000019;0.020740;0.985076;0.020430;0.937953;0.019453;0.850943;0.017648;0.706589;0.014654;0.989927;0.944964;0.019604;33.000000;0.977400;0.714860
1.000298;0.021375;0.985356;0.021055;0.938234;0.020048;0.851220;0.018189;0.706843;0.015104;0.989888;0.944929;0.020198;34.000000;0.976200;0.704260
1.000576;0.022010;0.985635;0.021681;0.938515;0.020644;0.851497;0.018730;0.707098;0.015554;0.989849;0.944892;0.020791;35.000000;0.974980;0.693950
1.000854;0.022645;0.985914;0.022307;0.938795;0.021241;0.851773;0.019272;0.707352;0.016004;0.989808;0.944855;0.021384;36.000000;0.973740;0.683980
1.001131;0.023281;0.986192;0.022933;0.939075;0.021838;0.852049;0.019814;0.707606;0.016455;0.989766;0.944816;0.021978;37.000000;0.972470;0.674410
1.001408;0.023917;0.986470;0.023560;0.939354;0.022435;0.852324;0.020356;0.707860;0.016906;0.989723;0.944777;0.022571;38.000000;0.971190;0.665270
1.001684;0.024553;0.986748;0.024187;0.939633;0.023032;0.852600;0.020899;0.708114;0.017357;0.989679;0.944736;0.023164;39.000000;0.969900;0.656610
1.001960;0.025190;0.987025;0.024814;0.939912;0.023630;0.852875;0.021442;0.708367;0.017809;0.989634;0.944694;0.023757;40.000000;0.968610;0.648460
1.002236;0.025827;0.987301;0.025442;0.940190;0.024228;0.853149;0.021985;0.708620;0.018261;0.989588;0.944652;0.024350;41.000000;0.967320;0.640840
1.002510;0.026464;0.987577;0.026070;0.940468;0.024827;0.853423;0.022529;0.708873;0.018713;0.989540;0.944608;0.024943;42.000000;0.966040;0.633770
1.002785;0.027102;0.987853;0.026699;0.940745;0.025426;0.853697;0.023073;0.709126;0.019166;0.989492;0.944563;0.025536;43.000000;0.964770;0.627260
1.003059;0.027740;0.988128;0.027327;0.941022;0.026025;0.853971;0.023617;0.709379;0.019618;0.989442;0.944517;0.026129;44.000000;0.963520;0.621320
1.003332;0.028379;0.988402;0.027957;0.941299;0.026624;0.854244;0.024162;0.709631;0.020072;0.989391;0.944470;0.026722;45.000000;0.962290;0.615950
1.003605;0.029018;0.988676;0.028586;0.941575;0.027224;0.854517;0.024707;0.709883;0.020525;0.989339;0.944422;0.027315;46.000000;0.961080;0.611160
1.003877;0.029657;0.988950;0.029216;0.941850;0.027825;0.854789;0.025253;0.710135;0.020979;0.989285;0.944373;0.027908;47.000000;0.959910;0.606930
1.004149;0.030297;0.989223;0.029846;0.942125;0.028425;0.855061;0.025798;0.710387;0.021433;0.989231;0.944323;0.028500;48.000000;0.958760;0.603260
1.004420;0.030937;0.989495;0.030477;0.942400;0.029026;0.855333;0.026345;0.710639;0.021888;0.989176;0.944272;0.029093;49.000000;0.957660;0.600140
1.004691;0.031577;0.989768;0.031108;0.942674;0.029628;0.855604;0.026891;0.710890;0.022343;0.989119;0.944220;0.029685;50.000000;0.956590;0.597540
1.004961;0.032217;0.990039;0.031739;0.942948;0.030229;0.855875;0.027438;0.711141;0.022798;0.989061;0.944166;0.030278;51.000000;0.955570;0.595470
1.005231;0.032858;0.990310;0.032371;0.943221;0.030831;0.856146;0.027985;0.711392;0.023254;0.989002;0.944112;0.030870;52.000000;0.954590;0.593890
1.005500;0.033500;0.990581;0.033003;0.943494;0.031434;0.856416;0.028533;0.711643;0.023709;0.988942;0.944057;0.031462;53.000000;0.953660;0.592780
1.005769;0.034141;0.990851;0.033635;0.943766;0.032037;0.856686;0.029081;0.711893;0.024166;0.988881;0.944000;0.032054;54.000000;0.952780;0.592130
1.006037;0.034783;0.991121;0.034268;0.944038;0.032640;0.856955;0.029629;0.712143;0.024622;0.988819;0.943943;0.032646;55.000000;0.951940;0.591910
